Tipologia;Categoria;Esercizi ricettivi;Posti letto
Esercizi alberghieri;4-5 Stelle;457;32741
Esercizi alberghieri;3 Stelle;1583;66436
Esercizi alberghieri;1-2 Stelle;1220;29972
Esercizi alberghieri;Residence;807;20959
Esercizi alberghieri;Totale;4067;150108
Esercizi extralberghieri;Campeggi;47;12214
Esercizi extralberghieri;Alloggi privati;2835;23377
Esercizi extralberghieri;Esercizi agrituristici;2797;24413
Esercizi extralberghieri;Altri esercizi;317;9679
Esercizi extralberghieri;Totale;5996;69683
Totale;;10063;219791
